id,Gender,Year,Frequency,Most frequently visited canteen(s) or eateries,Maxim,SU,BIJAS,Delifrance,Swire
26,Male,Freshman,6-11,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), Fong Shu Chuen Amenities Centre Restaurant (Asia Pacific Catering Corporation Ltd.), Starbucks Coffee, Delifrance",HKD30-40,HKD30-40,HKD50-60,HKD50-60,HKD40-50
27,Female,Junior,3-5,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), Outpost III (Tung Wah Group Hospital (TWGHs) iBakery), Starbucks Coffee, BIJAS Vegetarian (一念素食)",HKD30-40,HKD30-40,HKD50-60,HKD30-40,HKD20-30
28,Male,Senior,3-5,"Starbucks Coffee, Delifrance",HKD20-30,HKD20-30,HKD40-50,HKD40-50,HKD30-40
29,Female,Senior,6-11,Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2),HKD30-40,HKD30-40,HKD30-40,HKD20-30,HKD40-50
30,Female,Sophomore,≤2,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), Starbucks Coffee, Delifrance",HKD40-50,HKD30-40,HKD60-70,HKD60-70,HKD40-50
31,Female,Senior,6-11,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), Starbucks Coffee",HKD40-50,HKD30-40,HKD50-60,HKD30-40,HKD20-30
32,Female,Junior,≤2,Union Restaurant (EAT),HKD20-30,HKD20-30,HKD20-30,HKD20-30,HKD20-30
33,Female,Senior,6-11,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), Fong Shu Chuen Amenities Centre Restaurant (Asia Pacific Catering Corporation Ltd.), Outpost II (SUBWAY)",HKD30-40,HKD20-30,HKD40-50,HKD40-50,HKD40-50
34,Female,Senior,≥ 12,Fong Shu Chuen Amenities Centre Restaurant (Asia Pacific Catering Corporation Ltd.),HKD60-70,HKD60-70,HKD60-70,HKD60-70,HKD60-70
35,Female,Sophomore,3-5,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), Fong Shu Chuen Amenities Centre Restaurant (Asia Pacific Catering Corporation Ltd.), Starbucks Coffee, HKUSU Cafeteria B (U-Deli 賞味軒)/HKUSU Cafeteria C (U-Sweet 小食皇)",HKD30-40,HKD20-30,HKD30-40,HKD30-40,HKD30-40
36,Male,Senior,6-11,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), Fong Shu Chuen Amenities Centre Restaurant (Asia Pacific Catering Corporation Ltd.), Starbucks Coffee",HKD30-40,HKD30-40,HKD40-50,HKD40-50,HKD30-40
37,Male,Senior,3-5,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), Union Restaurant (EAT), HKUSU Cafeteria B (U-Deli 賞味軒)/HKUSU Cafeteria C (U-Sweet 小食皇)",HKD30-40,HKD30-40,HKD50-60,HKD40-50,HKD30-40
38,Female,Senior,≤2,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), HKUSU Cafeteria B (U-Deli 賞味軒)/HKUSU Cafeteria C (U-Sweet 小食皇)",HKD30-40,HKD20-30,HKD40-50,HKD40-50,HKD30-40
39,Female,Sophomore,3-5,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), BIJAS Vegetarian (一念素食)",HKD30-40,HKD20-30,HKD20-30,HKD20-30,HKD20-30
40,Female,Sophomore,≥ 12,Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2),HKD40-50,HKD30-40,HKD40-50,HKD40-50,HKD30-40
41,Female,Junior,≤2,Fong Shu Chuen Amenities Centre Restaurant (Asia Pacific Catering Corporation Ltd.),HKD20-30,HKD20-30,HKD20-30,HKD20-30,HKD20-30
42,Female,Junior,6-11,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), Fong Shu Chuen Amenities Centre Restaurant (Asia Pacific Catering Corporation Ltd.), Starbucks Coffee",HKD30-40,HKD30-40,HKD40-50,HKD20-30,HKD30-40
43,Female,Junior,3-5,"Chong Yuet Ming Amenities Centre Cafeteria - Cafe 330 (New Life Support Enterprises Ltd.), Starbucks Coffee, BIJAS Vegetarian (一念素食)",HKD20-30,HKD20-30,HKD20-30,HKD30-40,HKD30-40
44,Female,Junior,6-11,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), Fong Shu Chuen Amenities Centre Restaurant (Asia Pacific Catering Corporation Ltd.), HKU Halal Food Corner (Ebeneezer's Kebabs & Pizzeria)",HKD30-40,HKD20-30,HKD40-50,HKD50-60,HKD40-50
45,Male,Senior,≥ 12,"Fong Shu Chuen Amenities Centre Restaurant (Asia Pacific Catering Corporation Ltd.), Starbucks Coffee",HKD20-30,HKD20-30,HKD30-40,HKD30-40,HKD20-30
46,Female,Senior,6-11,Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2),HKD30-40,HKD20-30,HKD40-50,HKD40-50,HKD30-40
47,Male,Sophomore,≥ 12,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), Fong Shu Chuen Amenities Centre Restaurant (Asia Pacific Catering Corporation Ltd.)",HKD30-40,HKD30-40,HKD30-40,HKD30-40,HKD30-40
48,Female,Junior,≥ 12,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), Chong Yuet Ming Amenities Centre Cafeteria - Cafe 330 (New Life Support Enterprises Ltd.), Starbucks Coffee",HKD40-50,HKD40-50,HKD50-60,HKD40-50,HKD40-50
49,Female,Senior,≤2,"Chong Yuet Ming Amenities Centre Cafeteria - Cafe 330 (New Life Support Enterprises Ltd.), BIJAS Vegetarian (一念素食)",HKD30-40,HKD20-30,HKD30-40,HKD30-40,HKD30-40
50,Female,Postgraduate ,6-11,"Chong Yuet Ming Amenities Centre Restaurant (Maxim's FOOD2), Fong Shu Chuen Amenities Centre Restaurant (Asia Pacific Catering Corporation Ltd.), Starbucks Coffee, HKUSU Cafeteria B (U-Deli 賞味軒)/HKUSU Cafeteria C (U-Sweet 小食皇), BIJAS Vegetarian (一念素食)",HKD30-40,HKD20-30,HKD40-50,HKD40-50,HKD20-30
51,Male,Freshman,6-11,Fong Shu Chuen Amenities Centre Restaurant (Asia Pacific Catering Corporation Ltd.),HKD20-30,HKD30-40,HKD60-70,HKD30-40,HKD20-30
52,Female,Senior,≤2,HKUSU Cafeteria B (U-Deli 賞味軒)/HKUSU Cafeteria C (U-Sweet 小食皇),HKD30-40,HKD20-30,HKD30-40,HKD30-40,HKD30-40
53,Female,Freshman,3-5,Fong Shu Chuen Amenities Centre Restaurant (Asia Pacific Catering Corporation Ltd.),HKD20-30,HKD20-30,HKD50-60,HKD40-50,HKD20-30
